City part,Street,Size (m²),Price,Price per m²,Lower,Number of rooms,Floor,Number of floors,Built year,Renovation years,Renovations,Construction type,Heating type,Refurbishment,Features,Extra areas,Extra stuff,Security,URL
Ðiaurës miestelyje,J. Kubiliaus ,54,300,5.56,TRUE,2,5,8,2004,0,FALSE,Kita,Centrinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-siaures-miestelyje-j-kubiliaus-g-geras-rajonasnaujai-irengtas-dvieju-kambariu-4-840953/
Senamiestyje,Ðeimyniðkiø ,68,400,5.88,FALSE,2,10,12,1985,0,FALSE,Mûrinis,Kita,Árengtas,Internetas,,"Skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, vonia",,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-seimyniskiu-g-sviesus-jauku-siltas-ir-tvarkingas-butas-4-841091/
Senamiestyje,Aguonø ,30,395,13.17,TRUE,1,2,4,1950,0,FALSE,Mûrinis,Centrinis,Árengtas,"Aukðtos lubos, nauja elektros instaliacija, internetas, virtuvë sujungta su kambariu",Balkonas,"Skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, duðo kabina",Kodinë laiptinës spyna,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-aguonu-g-labai-patogioje-vietoje-aguonu-g-vilniaus-4-799117/
Naujamiestyje,K. Kalinausko ,52.54,800,15.23,FALSE,2,3,6,2018,0,FALSE,Monolitinis,Centrinis kolektorinis,Árengtas,"Aukðtos lubos, nauja kanalizacija, nauja elektros instaliacija, uþdaras kiemas","Balkonas, drabuþinë","Skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, indaplovë, vonia","Ðarvuotos durys, signalizacija, kodinë laiptinës spyna, videokameros, budintis sargas",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-k-kalinausko-g-2-kambariu-butas-nuomai-nuomojamas-4-839389/
Ðnipiðkëse,Trimitø ,27,400,14.81,FALSE,1,3,5,2017,0,FALSE,Mûrinis,Dujinis,Árengtas,Internetas,"Balkonas, vieta automobiliui","Skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, indaplovë, duðo kabina","Ðarvuotos durys, kodinë laiptinës spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-trimitu-g-nuomojamas-naujai-irengtas-butas-rami-vieta-4-814099/
Antakalnyje,Ðilo ,31,280,9.03,FALSE,1,4,4,1960,0,FALSE,Mûrinis,Centrinis,Árengtas,"Nauja elektros instaliacija, uþdaras kiemas","Balkonas, rûsys","Skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë",Ðarvuotos durys,http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-silo-g-4-464595/
Naujamiestyje,Þemaitës ,56,400,7.14,FALSE,3,1,5,1967,0,FALSE,Blokinis,Centrinis,Árengtas,"Tualetas ir vonia atskirai, nauja elektros instaliacija",Balkonas,"Skalbimo maðina, su baldais, ðaldytuvas, virtuvës komplektas, viryklë, indaplovë, duðo kabina","Ðarvuotos durys, kodinë laiptinës spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-zemaites-g-be-tarpininku-isnuomojamas-siuolaikiskai-4-834953/
Ðnipiðkëse,Giedraièiø ,59,580,9.83,TRUE,3,3,4,2017,0,FALSE,Monolitinis,"Centrinis, elektra",Árengtas,"Nauja kanalizacija, nauja elektros instaliacija, uþdaras kiemas, internetas, virtuvë sujungta su kambariu","Sandëliukas, balkonas, terasa","Skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, indaplovë, vonia","Ðarvuotos durys, kodinë laiptinës spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-giedraiciu-g-siulome-nuomai-nuo-sm-rugsejo-01d-naujame-4-732909/
Paðilaièiuose,Perkûnkiemio ,64,560,8.75,FALSE,2,12,16,2007,0,FALSE,Monolitinis,Centrinis,Árengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-perkunkiemio-g-rimtai-ir-tvarkingai-porai-ar-seimai-4-833783/
Senamiestyje,Vilniaus ,56,1450,25.89,TRUE,2,2,4,1890,2004,TRUE,Mûrinis,Centrinis kolektorinis,Árengtas,Aukðtos lubos,Vieta automobiliui,"Skalbimo maðina, su baldais, ðaldytuvas, ðildomos grindys, virtuvës komplektas, viryklë, indaplovë, vonia","Ðarvuotos durys, signalizacija, kodinë laiptinës spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vilniaus-g-vilnius-vilniaus-g-nuomojami-2-kambariu-4-821691/
