District,Street,Area (m²),Price,Price/m²,Lower price,Number of rooms,Floor,Floors,Built year,Renovation year,Renovation,Building type,Heating type,Refurbishment,Features,Extra parts,Extra stuff,Security,Description,URL,City
Šiaurės miestelyje,J. Kubiliaus ,54,300,5.56,TRUE,2,5,8,2004,0,FALSE,Kita,Centrinis,Įrengtas,,,,,"Geras rajonas,naujai irengtas dvieju kambariu butas. Su buitine technika ir baldais. Vonios kambario grindys sildomos. Internetas,kabeline. Sarvuotos durys.Iki artimiausios parduotuves apie 300 m.,netoliese vaiku darzelis. Iki centro 2,5 km,geras susisiekimas.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-siaures-miestelyje-j-kubiliaus-g-geras-rajonasnaujai-irengtas-dvieju-kambariu-4-840953/,Vilnius
Senamiestyje,Šeimyniškių ,68,400,5.88,FALSE,2,10,12,1985,0,FALSE,Mūrinis,Kita,Įrengtas,Internetas,,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, vonia",,"Šviesus, jauku, šiltas ir tvarkingas butas pačiame miesto centre su 2 atskirais nepereinamais kambariais, iki 10 min pėstute iki Neries upės, pasivaikščiojimo takų, Katedros, Žaliojo tilto ar prekybos centro Europa. Šildymas centrinis, tačiau už šilumą mokėsite tiek pat, kiek gyvendami naujos statybos bute, nes šeimininkai taiko šilumos kainų „lubas“ šildymo sezono metu (mokėti reikia pagal skaitiklių parodymus, tačiau jei sąskaita už šildymą bus didesnė nei 80 EUR, nuomininkas moka tik šią sumą, o likusią sąskaitos dalį padengia patys šeimininkai).  Išskirtinai patogus ir retai sutinkamas išplanavimas: du dideli atskiri (nepereinami) ir šviesūs kambariai po 20 kv., pilnai įrengta virtuvė yra nesujungta su kambariais, yra erdvi prieškambario drabužinė ir visiškai naujai, moderniai įrengtas vonios kambarys (tualetas, vonia, skalbimo mašina, kriauklė).  Butas įrengtas, su baldais, viename kambaryje - miegamasis, kitame – svetainė. Baldų išdėliojimą galima keisti, todėl dėl atskirų kambarių šis butas idealiai tinka ne tik šeimai, bet ir dviem draugams ar draugėms, norintiems nuomotis butą kartu, tačiau turėti po savo atskirą kambarį.  Iš abiejų kambarių atsiveria dideli panoraminiai vaizdai į rytų ir pietų pusę: į Gedimino pilį, Trijų kryžių kalną, Antakalnio žalumą.  Ir virtuvės lango – į šiaurę. Itin ramūs ir draugiški kaimynai, šalia gyvenantys jau daugiau kaip 12 metų, iš abiejų buto pusių – tie patys kaimynai, todėl labai ramu.  Butas laisvas nuo Rugpjūčio 31 d.  Jei norite gyventi miesto širdyje, eiti pėstute tiek apsipirkti, tiek į renginius bei koncertus, ar mokotės universitete ir norite patogiai jį pasiekti bei norite mėgautis ir kitus stebinti įspūdingais vaizdais pro savo langus, šis butas kaip tik Jums. Butas nuomojamas ilgam laikui.  Prašomas 1 mėn nuomos dydžio užstatas ir nuoma už 1 mėn į priekį. Šis butas nuomojamas be tarpininkų, nėra jokių papildomų mokesčių.  Tarpininkų prašome neskambinti.  Jei sudomino, skambinkite dėl apžiūros  Tel.  868604551 nuo 9 ryto iki 19 val., jei negalėsime atsiliepti - palikite žinutę ir perskambinsime. Paprastai šį butą išnuomojame labai greitai, todėl nedelskite. ",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-seimyniskiu-g-sviesus-jauku-siltas-ir-tvarkingas-butas-4-841091/,Vilnius
Senamiestyje,Aguonų ,30,395,13.17,TRUE,1,2,4,1950,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Aukštos lubos, nauja elektros instaliacija, internetas, virtuvė sujungta su kambariu",Balkonas,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, dušo kabina",Kodinė laiptinės spyna,"Labai patogioje vietoje, Aguonų g., Vilniaus Senamiestyje išnuomojamas jaukus butas su balkonu. Idealus gyventi porai ar vienam asmeniui. Bute atliktas kapitalinis remontas, pakeista elektros instaliacija ir vamzdžiai. Išnuomojamas su visais baldais, indais ir buitine technika. Labai mazi komunaliniai mokesciai.  Išnuomojamas BE TARPININKŲ. Brokerių prašome neskambinti.  Cozy studio apartment with a balcony for rent in Vilnius Old town. Perfect for a couple or one person. The studio has recently undergone renovation and comes with a fully equipped kitchen, all furniture, a washing machine, an integrated wardrobe and a TV. ",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-aguonu-g-labai-patogioje-vietoje-aguonu-g-vilniaus-4-799117/,Vilnius
Naujamiestyje,K. Kalinausko ,52.54,800,15.23,FALSE,2,3,6,2018,0,FALSE,Monolitinis,Centrinis kolektorinis,Įrengtas,"Aukštos lubos, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas","Balkonas, drabužinė","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, vonia","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros, budintis sargas","2 KAMBARIŲ BUTAS NUOMAI Nuomojamas įrengtas 2 kambario butas Kalinausko g. Bendras buto plotas 52,64 kv.m., 3/6 aukštas. Butas bus pilnai įrengtas Spalio pradžioje.  BUTO PRIVALUMAI: - BUTAS NUOMOJAMAS SU BŪTINIAUSIA BUITINE TECHNIKA IR BALDAIS. - REKUPERACINĖ VĖDINIMO SISTEMA - BUTAS ŠIUOLAIKIŠKAI ĮRENGTAS. - VOS KELETĄ MINUČIŲ PĖSČIOMIS IKI SENAMIESČIO. ŠILDYMAS: - Centrinis kolektorinis (šildomos grindys).  PARKAVIMAS: - Po namu yra automobilių stovėjimo aikštelė. Kaina - 70EUR+PVM Domina tik ilgalaikė nuoma        ",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-k-kalinausko-g-2-kambariu-butas-nuomai-nuomojamas-4-839389/,Vilnius
Šnipiškėse,Trimitų ,27,400,14.81,FALSE,1,3,5,2017,0,FALSE,Mūrinis,Dujinis,Įrengtas,Internetas,"Balkonas, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna, videokameros","Nuomojamas naujai įrengtas butas. Rami vieta. Yra visi baldai, buitinė technika, televizorius, virtuvės reikmenys. Autonominis dujinis grindinis šildymas.  Aptverta teritorija, vaizdo kameros. Butui priklauso parkavimo vieta (įskaičiuota į kainą).Butą nuomoja savininkas, nėra tarpininkavimo mokesčio.Butas bus laisvas nuo rugsėjo 1 d.Tarpininkų paslaugos nedomina.         ",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-trimitu-g-nuomojamas-naujai-irengtas-butas-rami-vieta-4-814099/,Vilnius
Antakalnyje,Šilo ,31,280,9.03,FALSE,1,4,4,1960,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Nauja elektros instaliacija, uždaras kiemas","Balkonas, rūsys","Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė",Šarvuotos durys,"Nuo rugpjūčio 25 d.UŽDARAS KIEMAS !!!!VISADA YRA VIETA AUTOMOBILIUI !!!!NĖRA GYVATUKO MOKESČIO !!!ĮSTIKLINTAS BALKONAS.PIGIAI. SU BALDAIS IR BUITINĖ TECHNIKA. Puikus butas su baldais ir buitine technika.Šalia visuomeninis transportas, poliklinika, parduotuvė, bankas ir t.t. Netoli Saulėtekis ir miesto centras. Greitas susisiekimas su miesto centru.Jokių automobilių kamščių. Maži komunaliniai mokesčiai.Įvažiavimas į kiemą apsaugotas šlagbaumu. Visada yra vietos automobiliui. Butas yra Antakalnio gatvės viduryje. Prie Šilo tilto. Ilgalaikei nuomai. Tai butas Jums.Tarpininkavimo mokestis tiktai 30 EURPrie nuotraukų yra vaizdo įrašas.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-silo-g-4-464595/,Vilnius
Naujamiestyje,Žemaitės ,56,400,7.14,FALSE,3,1,5,1967,0,FALSE,Blokinis,Centrinis,Įrengtas,"Tualetas ir vonia atskirai, nauja elektros instaliacija",Balkonas,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, indaplovė, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna","Be tarpininkų išnuomojamas šiuolaikiškai įrengtas tvarkingas trijų kambarių butas ramiems ir tvarkingiems nuominikams. Butas jaukus ir labai šiltas žiemą, pritaikytas gyventi dviems ar trims asmenims. Kiekviename kambaryje yra po spintą ir darbo stalą. Atskira erdvė valgymui. Virtuvėje yra indaplovė, skalbimo mašina, viename kambaryje yra vandens lova. Laukiame ramių ir malonių nuomininkų naujiems namams.        ",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-zemaites-g-be-tarpininku-isnuomojamas-siuolaikiskai-4-834953/,Vilnius
Šnipiškėse,Giedraičių ,59,580,9.83,TRUE,3,3,4,2017,0,FALSE,Monolitinis,"Centrinis, elektra",Įrengtas,"Nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, internetas, virtuvė sujungta su kambariu","Sandėliukas, balkonas, terasa","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, vonia","Šarvuotos durys, kodinė laiptinės spyna, videokameros","Siūlome nuomai  nuo š.m. rugsėjo 01d. naujame name įrengtą  jaukų butą / pietų- vakarų pusėje/, su virtuvės- valgomojo, svetainės, ir miegamojo baldais ir būtiniausia buitine technika.  Sandėliukas daiktams, name liftas. Už papildomą 40 Eur mokestį - vieta automobiliui. Apžiūrėti butą bus galima  rugpjūčio 21-2 3d.iš anksto sutartu laiku. Buto nuomos terminas ne trumpiau 1.5-2 metai. Pageidaujame nuomoninkų be  gyvūnų.",http://www.aruodas.lt/butu-nuoma-vilniuje-snipiskese-giedraiciu-g-siulome-nuomai-nuo-sm-rugsejo-01d-naujame-4-732909/,Vilnius
Pašilaičiuose,Perkūnkiemio ,64,560,8.75,FALSE,2,12,16,2007,0,FALSE,Monolitinis,Centrinis,Įrengtas,,,,,"Rimtai ir tvarkingai porai ar šeimai išnuomojamas įrengtas 2 kambariu, 64 kv.m butas Perkūnkiemyje, Perkūnkiemio g. 43-54, 2007 m. statybos name. 12 aukšte iš 16 aukštų.  Bute yra vienas miegamasis kambarys, svetainė sujungta su virtuve, erdvi vonia su atskiru dušu ir tualetu. Svetainėje yra galimybė miegoti svečiams. Sumontuota buitinė technika, nauji baldai. Reguliuojamas šildymas.  Langai orientuoti į pietvakarių pusę. Erdvus balkonas. Butas yra labai šviesus ir jaukus. Pro langus atsiveria puikus vaizdasį Gineitiškes.  Saugumui užtikrinti yra sumontuotos šarvuotos durys, kodinė laiptinės spyna, signalizacija.  Netoliese yra prekybos centrai MAXIMA, IKI, RIMI, Lidl, mokyklos, darželiai. Depozitas pagal susitarimą. Butas nuomojamas ne trumpesniam nei 24 mėn. laikotarpiui. Galima ir ilgesnė nuoma. Papildomai į kainą įeina po namu esantis atskiras garažas bei prie garažo vartų papildoma parkavimo vieta. Atsiprašome, tačiau gyventojams su gyvūnais nuomoti nenorėtume. Jokio agentūros mokesčio, nes nuoma siūloma paties šeimininko. TARPININKŲ MALONIAI PRAŠOME NETRUKDYTI IŠSKYRUS, JEIGU TURITE REALŲ NUOMININKĄ!         ",http://www.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-perkunkiemio-g-rimtai-ir-tvarkingai-porai-ar-seimai-4-833783/,Vilnius
Senamiestyje,Vilniaus ,56,1450,25.89,TRUE,2,2,4,1890,2004,TRUE,Mūrinis,Centrinis kolektorinis,Įrengtas,Aukštos lubos,Vieta automobiliui,"Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, vonia","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros","Vilnius, Vilniaus g. nuomojami 2 kambariu apartamentai.56kv.m. IŠPLANAVIMAS 56 m² plote įrengtas 1 erdvus miegamasis su drabužine, bendra svetainė su virtuve, vonios kambarys su sanmazgu ir vonia. Į apartamentus patenkama iš lauko per tambūrą, kuris yra bendras su dar keliais apartamentais.. Parkavimo vieta  - bendras vidinis kiemas. INTERJERAS Apartamentams įrengti prireikė daug laiko ir kruopštumo. Interjerą įrenginėjo dizainerių studija iki mažiausių detalių. Visi baldai, durys, dekoro detalės įrengti pagal interjero dizaino projektą. Kiekvienas baldas buvo kuriamas individualiai, tiek iš ilgaamžiškumo ir praktiškumo pusės, tiek iš ramybės ir prabangos suteikiančių pojūčių pusės. Sienų, durų, grindų, baldų spalvos parinktos šiltos, dominuoja šviesios ir tamsiai rudos spalvos. Tik pabuvus ilgiau šiuose išnuomojamuose namuose galima pajausti ramybės, modernios klasikos ir kokybės jausmų mišinį.  Taip pat erdvės pojūtį padidina ne tik aukštos lubos , bet ir nestandartinės medžio masyvo vidaus durys. NUOMOS SĄLYGOS • 1800 Eur/mėn. + kiti mokesčiai  861699977        ",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vilniaus-g-vilnius-vilniaus-g-nuomojami-2-kambariu-4-821691/,Vilnius
