City part,Street,Size (m²),Price,PSQMY,Lower,Number of rooms,Floor,Number of floors,Built year,Renovation years,Renovations,Construction type,Heating type,Refurbishment,Features,Extra areas,Extra stuff,Security,URL
Naujamiestyje,J. Jasinskio ,23,1200,626.04,FALSE,1,6,6,1995,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Internetas, virtuvė sujungta su kambariu",Balkonas,Su baldais,Šarvuotos durys,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-j-jasinskio-g-isnuomojamas-sviesus-studijos-tipo-1-k-4-831029/
Senamiestyje,J. Jasinskio ,20,800,480,FALSE,1,5,6,1995,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Internetas, virtuvė sujungta su kambariu",Balkonas,Su baldais,Šarvuotos durys,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-j-jasinskio-g-isnuomojamas-jaukus-ir-sviesus-20m-4-826529/
Senamiestyje,Vilniaus ,56,1450,310.68,TRUE,2,2,4,1890,2004,TRUE,Mūrinis,Centrinis kolektorinis,Įrengtas,Aukštos lubos,Vieta automobiliui,"Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, vonia","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vilniaus-g-vilnius-vilniaus-g-nuomojami-2-kambariu-4-821691/
Naujamiestyje,A. Vivulskio ,25,637,305.76,FALSE,1,1,3,2014,0,FALSE,Mūrinis,"Centrinis, dujinis",Įrengtas,"Nauja kanalizacija, internetas, kabelinė televizija",,"Su baldais, šaldytuvas, viryklė",Budintis sargas,http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-a-vivulskio-g--sviesos-nepraleidziancios-uzuolaidos-10-4-489907/
Naujamiestyje,Algirdo ,30,750,300,FALSE,1,5,6,2017,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Nauja elektros instaliacija, internetas, kabelinė televizija",Balkonas,"Skalbimo mašina, su baldais, šaldytuvas, virtuvės komplektas, viryklė, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-algirdo-g-isnuomojamas-naujai-irengtas-butas-su-4-797909/
Užupyje,Užupio ,21,500,285.72,FALSE,1,1,2,1940,0,FALSE,Mūrinis,Elektra,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-uzupio-g-puikus-1-kambario-studio-tipo-butas-4-835099/
Karoliniškėse,Igno Šimulionio ,218,5000,275.28,FALSE,6,4,4,2015,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Aukštos lubos, tualetas ir vonia atskirai, kabelinė televizija, internetas, virtuvė sujungta su kambariu","Balkonas, rūsys, terasa, drabužinė","Su baldais, kondicionierius, skalbimo mašina","Kodinė laiptinės spyna, signalizacija",http://www.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-igno-simulionio-g-akis-traukianti-architektura-ir-stilingas-4-747581/
Senamiestyje,Gedimino p,40,900,270,FALSE,1,2,5,2017,0,FALSE,Monolitinis,Centrinis kolektorinis,Įrengtas,"Aukštos lubos, uždaras kiemas, kabelinė televizija, internetas, nauja kanalizacija, nauja elektros instaliacija, renovuotas namas, virtuvė sujungta su kambariu","Vieta automobiliui, balkonas, terasa, drabužinė","Šildomos grindys, su baldais, plastikiniai vamzdžiai, kondicionierius, skalbimo mašina, šaldytuvas, virtuvės komplektas, viryklė, indaplovė, dušo kabina","Šarvuotos durys, kodinė laiptinės spyna, signalizacija, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gedimino-pr-prabangus-apartamentai-be-tarpininku-4-840903/
Žirmūnuose,Olimpiečių ,98,2200,269.4,FALSE,3,3,4,2018,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Nauja kanalizacija, kabelinė televizija, virtuvė sujungta su kambariu","Sandėliukas, balkonas, terasa, rūsys, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, dušo kabina, vonia","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-olimpieciu-g-prabangus-pilies-apartamentu-butas-vilniaus-4-833801/
Senamiestyje,Olimpiečių ,98,2200,269.4,FALSE,3,3,4,2017,0,FALSE,Mūrinis,"Centrinis kolektorinis, kita",Įrengtas,"Internetas, nauja kanalizacija, kabelinė televizija, nauja elektros instaliacija, virtuvė sujungta su kambariu, uždaras kiemas","Balkonas, terasa, vieta automobiliui, drabužinė, sandėliukas","Šildomos grindys, skalbimo mašina, su baldais, virtuvės komplektas, viryklė, kondicionierius, šaldytuvas, indaplovė, vonia, dušo kabina","Videokameros, signalizacija, kodinė laiptinės spyna, šarvuotos durys",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-olimpieciu-g-isskirtiniai-apartamentai-naujame-kvartale-4-836125/
